image_id,fold
38018.jpg,0
48502.jpg,1
38275.jpg,2
26913.jpg,3
57375.jpg,0
45797.jpg,1
39085.jpg,2
48301.jpg,3
33521.jpg,0
51085.jpg,1
38325.jpg,2
27614.jpg,3
33488.jpg,0
01606.jpg,1
48356.jpg,2
38228.jpg,3
39089.jpg,0
28672.jpg,1
59600.jpg,2
52399.jpg,3
31227.jpg,0
59766.jpg,1
16810.jpg,2
71968.jpg,3
56706.jpg,0
38234.jpg,1
37383.jpg,2
42212.jpg,3
73700.jpg,0
77052.jpg,1
41133.jpg,2
20051.jpg,3
47487.jpg,0
41621.jpg,1
62016.jpg,2
38168.jpg,3
48182.jpg,0
38075.jpg,1
28622.jpg,2
10427.jpg,3
26596.jpg,0
72901.jpg,1
38268.jpg,2
44699.jpg,3
38294.jpg,0
17702.jpg,1
64191.jpg,2
28881.jpg,3
48196.jpg,0
38400.jpg,1
38286.jpg,2
02593.jpg,3
61685.jpg,0
38231.jpg,1
49627.jpg,2
69565.jpg,3
75152.jpg,0
30917.jpg,1
48033.jpg,2
59636.jpg,3
43846.jpg,0
31304.jpg,1
39489.jpg,2
23204.jpg,3
61568.jpg,0
41148.jpg,1
38323.jpg,2
61519.jpg,3
48214.jpg,0
25611.jpg,1
69851.jpg,2
38027.jpg,3
30969.jpg,0
30288.jpg,1
31118.jpg,2
62747.jpg,3
58235.jpg,0
26452.jpg,1
40200.jpg,2
33438.jpg,3
60733.jpg,0
54740.jpg,1
23053.jpg,2
63144.jpg,3
10127.jpg,0
56903.jpg,1
38454.jpg,2
26010.jpg,3
38235.jpg,0
71353.jpg,1
38227.jpg,2
76318.jpg,3
41480.jpg,0
18719.jpg,1
48782.jpg,2
42405.jpg,3
27522.jpg,0
69961.jpg,1
64231.jpg,2
27891.jpg,3
38056.jpg,0
38041.jpg,1
57963.jpg,2
40486.jpg,3
73347.jpg,0
27167.jpg,1
78789.jpg,2
36481.jpg,3
38089.jpg,0
75609.jpg,1
67436.jpg,2
25822.jpg,3
38299.jpg,0
13069.jpg,1
19545.jpg,2
38209.jpg,3
38254.jpg,0
50045.jpg,1
48236.jpg,2
16835.jpg,3
47793.jpg,0
36603.jpg,1
62428.jpg,2
18992.jpg,3
70878.jpg,0
38242.jpg,1
58891.jpg,2
44616.jpg,3
73378.jpg,0
26157.jpg,1
62481.jpg,2
